qbb_pes,lat_pes,ruq_piCor,ruo_piCor,rup_CiCoru,ron_piCor,dlm_pins,fur_pit,ll1_pe,ll2_pe,ro1_pe,ro2_pei,ro3_pe,ro4_pE,pm1_pe,pm2_pe,pm3_pe,pm4_pe,pm5_pE,lm1_pe,lm2_pE,eg1_pe,eg2_piE,eg3_pe,eg4_pE,li1_pe,li2_pe,li3_pe,ve1_pie,ve2_pie,ve3_pie,ito_piE,ita_piEde,itg_piEde,itf_fetE,nea_pEr3,src_pede,sro_pEi,sc1_piEri,sc2_pEri,sc3_pEdi,sc4_pEri,ca1_pEw,ca2_pEw,ca3_pEw,ca4_pEw,ca5_pEw,ca6_pEw,spa_pie,ast_pie,por_pE,glg_pE,pr1_pEt,pr2_pi,fro_pie,fra_pie,pcd_pie,win_pi
qbb_plenus,lat_plenus,ruq_amplin,ruo_pLir,rup_plinu,ron_plin,dlm_plEin,fur_plEN,ll1_pl3N,ll2_pieN,ro1_plEin,ro2_plEin,ro3_plEN,ro4_plEin,pm1_piEN,pm2_piEN,pm3_piEN,pm4_pieN,pm5_piN,lm1_pie,lm2_piee,eg1_pin,eg2_pin,eg3_pin,eg4_pin,li1_piN,li2_piN,li3_CEN,ve1_piEN,ve2_pieN,ve3_pieN,ito_piEno,ita_piEno,itg_piEno,itf_pienu,nea_kin3,src_prenu,sro_prenu,sc1_kinu,sc2_kinu,sc3_kinu,sc4_Cinu,ca1_plE,ca2_ple,ca3_plE,ca4_ple,ca5_ple,ca6_ple,spa_Leno,ast_enLeno,por_Saiu,glg_Ceo,pr1_pleN,pr2_pLE,fro_plein,fra_pl,pcd_plE,win_pl
qbb_dErE,lat_dErE,ruq_dEw,ruo_do,rup_dEw,ron_EdE,dlm_dwor,fur_dE,ll1_dE,ll2_dEr,ro1_dEr,ro2_dEr,ro3_dEr,ro4_dEr,pm1_dE,pm2_de,pm3_de,pm4_dE,pm5_dE,lm1_dE,lm2_dE,eg1_de,eg2_dEr,eg3_dEr,eg4_dEr,li1_dE,li2_dE,li3_dE,ve1_dEr,ve2_dEr,ve3_dEr,ito_dEre,ita_dEre,itg_dEre,itf_dE,nea_dE,src_dEre,sro_donEi,sc1_dEri,sc2_dEri,sc3_dEri,sc4_dEri,ca1_dunE,ca2_donE,ca3_dunE,ca4_donEr,ca5_donEr,ca6_donEr,spa_dEr,ast_dEr,por_dEr,glg_dEr,pr1_dunE,pr2_bELi,fro_dener,fra_done,pcd_bEie,win_dine
qbb_bonus,lat_bonus,ruq_bun,ruo_bur,rup_bunu,ron_bun,dlm_buN,fur_boN,ll1_boN,ll2_boN,ro1_bun,ro2_bien,ro3_buN,ro4_bun,pm1_buN,pm2_buN,pm3_buN,pm4_buN,pm5_boN,lm1_bi,lm2_buN,eg1_bown,eg2_bon,eg3_bown,eg4_bown,li1_buN,li2_buN,li3_buN,ve1_boN,ve2_boN,ve3_boN,ito_bwono,ita_bwono,itg_bono,itf_bonu,nea_bwon3,src_vonu,sro_bonu,sc1_bwonu,sc2_bonu,sc3_bonu,sc4_bwonu,ca1_bo,ca2_bo,ca3_bo,ca4_bo,ca5_bo,ca6_bo,spa_bweno,ast_boN,por_be,glg_bo,pr1_boN,pr2_bo,fro_ben,fra_b,pcd_bwE,win_b
qbb_wiridis,lat_viridis,ruq_veErdi,ruo_zelen,rup_veErde,ron_verde,dlm_viErd,fur_vErt,ll1_v3rt,ll2_vert,ro1_vErt,ro2_vErt,ro3_vErt,ro4_vErt,pm1_vErd,pm2_vErd,pm3_vErd,pm4_vErd,pm5_vert,lm1_ert,lm2_vert,eg1_ver,eg2_verd,eg3_verd,eg4_vEird,li1_verde,li2_vErde,li3_vErde,ve1_verde,ve2_vert,ve3_vert,ito_verde,ita_verde,itg_verde,itf_verde,nea_vErd3,src_virde,sro_birdi,sc1_virdi,sc2_vidi,sc3_virdi,sc4_virdi,ca1_bErt,ca2_bErt,ca3_vErt,ca4_vErt,ca5_bErt,ca6_bErt,spa_ber8e,ast_berde,por_ver83,glg_berde,pr1_vert,pr2_vE,fro_vErt,fra_vEr,pcd_vEr,win_vEr
qbb_kEpilus,lat_kEpilus,ruq_per,ruo_per,rup_peru,ron_p3r,dlm_kEpei,fur_tEvEi,ll1_SEv3i,ll2_SEvei,ro1_S3vEls,ro2_k3vELs,ro3_t3vEls,ro4_S3vEls,pm1_kEvEi,pm2_kEvEi,pm3_kEvEi,pm4_kEvei,pm5_kEvEi,lm1_kiei,lm2_kEvEl,eg1_kEvEl,eg2_kEvi,eg3_kEvi,eg4_kEvi,li1_kEveli,li2_kEveli,li3_kEvEii,ve1_kEvei,ve2_kEvei,ve3_kEvei,ito_kEpelo,ita_kEpelo,itg_kEpeli,itf_kEpilu,nea_kEpil3,src_pilos,sro_piluzu,sc1_kEpidi,sc2_kEpidi,sc3_kEpidi,sc4_kEpidi,ca1_k3bEL,ca2_kEbeL,ca3_k3bEi,ca4_kEbeL,ca5_kEbeL,ca6_moNo,spa_pelo,ast_pelo,por_kabelu,glg_kEbelo,pr1_pEw,pr2_SevE,fro_C3vel,fra_S3vE,pcd_kEvio,win_CivE
qbb_mEnus,lat_mEnus,ruq_mon3,ruo_m3r,rup_min3,ron_min3,dlm_mwoN,fur_mEN,ll1_mEN,ll2_mEN,ro1_mEwn,ro2_mEwn,ro3_mEN,ro4_mEn,pm1_mEN,pm2_mEN,pm3_mEN,pm4_mEN,pm5_mEN,lm1_mE,lm2_mEN,eg1_man,eg2_mEn,eg3_mEN,eg4_mEn,li1_mEN,li2_mEN,li3_mEN,ve1_mEN,ve2_mEN,ve3_mEN,ito_mEno,ita_mEno,itg_mEno,itf_mEno,nea_mEn3,src_mEnu,sro_mEnu,sc1_mEnu,sc2_mEnu,sc3_mEnu,sc4_mEnu,ca1_mE,ca2_mE,ca3_mE,ca4_mE,ca5_mE,ca6_mE,spa_mEno,ast_mEno,por_ma,glg_mEN,pr1_mEN,pr2_mE,fro_mein,fra_m,pcd_mE,win_mw
qbb_kEput,lat_kEput,ruq_kEp,ruo_kop,rup_kEpu,ron_kEp,dlm_kup,fur_tEf,ll1_C3,ll2_Cef,ro1_SEw,ro2_SEw,ro3_te3,ro4_Sew,pm1_tEstE,pm2_tEstE,pm3_testE,pm4_testE,pm5_tEstE,lm1_ko,lm2_koo,eg1_tEstE,eg2_ko,eg3_tEstE,eg4_tEstE,li1_testE,li2_testE,li3_tEstE,ve1_tEstE,ve2_tEstE,ve3_tEstE,ito_kEpo,ita_tEstE,itg_tEstE,itf_kEpoCE,nea_kEp3,src_koNkE,sro_koNkE,sc1_tiEstE,sc2_tEstE,sc3_tEstE,sc4_tEstE,ca1_kEp,ca2_kEp,ca3_kEp,ca4_kEp,ca5_kEp,ca6_kEp,spa_kobe8E,ast_tiestE,por_kabesa,glg_kEbe8E,pr1_tEsto,pr2_tetE,fro_Cief,fra_tEt,pcd_tiEt,win_tiEs
qbb_EwdirE,lat_EwdirE,ruq_ut,ruo_Evzi,rup_Evdu,ron_EEwzi,dlm_sentEr,fur_sinti,ll1_Ewdi,ll2_sentir,ro1_udir,ro2_udir,ro3_sEntEkr,ro4_dudir,pm1_sENte,pm2_sENte,pm3_sENte,pm4_seNte,pm5_seNti,lm1_sinti,lm2_senti,eg1_sinti,eg2_sintir,eg3_siNtir,eg4_sEinter,li1_seNti,li2_seNti,li3_seNti,ve1_seNtir,ve2_seNtir,ve3_seNtir,ito_udire,ita_sentire,itg_sentire,itf_sinti,nea_s3nti,src_intendere,sro_intEndi,sc1_siEntiri,sc2_sEntiri,sc3_sEntiri,sc4_sEntiri,ca1_s3nti,ca2_senti,ca3_s3nti,ca4_sentir,ca5_sentir,ca6_sentir,spa_oir,ast_sentir,por_owvir,glg_owbir,pr1_entEndre,pr2_Ewire,fro_oir,fra_otodr,pcd_EtEd,win_Ett
qbb_kor,lat_kor,ruq_burik,ruo_iirimE,rup_inim3,ron_inim3,dlm_kwor,fur_kur,ll1_kwer,ll2_ker,ro1_kor,ro2_kor,ro3_kor,ro4_kowr,pm1_kEr,pm2_kEr,pm3_kEr,pm4_kEr,pm5_kEr,lm1_kEr,lm2_kEr,eg1_kor,eg2_kor,eg3_kor,eg4_kor,li1_kE,li2_kE,li3_kE,ve1_kwor,ve2_kor,ve3_kor,ito_kwore,ita_kwore,itg_kore,itf_kore,nea_kor3,src_koro,sro_koru,sc1_kwori,sc2_kori,sc3_kori,sc4_kori,ca1_kor,ca2_kor,ca3_ko,ca4_kor,ca5_kor,ca6_kor,spa_korE8on,ast_korE8oN,por_kurasa,glg_korE8oN,pr1_kor,pr2_kE,fro_kwEr,fra_kEr,pcd_CEr,win_kEr
qbb_kornu,lat_kornu,ruq_korn,ruo_korn,rup_kornu,ron_korn,dlm_kwErN,fur_kwEr,ll1_korn,ll2_korn,ro1_korn3,ro2_korn3,ro3_korn3,ro4_korn3,pm1_korn,pm2_korn,pm3_korn,pm4_korn,pm5_kornu,lm1_kEren,lm2_kornu,eg1_korEn,eg2_korEn,eg3_koren,eg4_koren,li1_kornu,li2_kornu,li3_kornu,ve1_korno,ve2_korno,ve3_korno,ito_korno,ita_korno,itg_korno,itf_kornu,nea_korn3,src_koru,sro_koru,sc1_kwornu,sc2_konu,sc3_kornu,sc4_kwornu,ca1_bEN3,ca2_bENE,ca3_bEN3,ca4_bENE,ca5_bENE,ca6_bENE,spa_kwerno,ast_kwerno,por_kornu,glg_korno,pr1_bEno,pr2_kErnE,fro_kor,fra_korn,pcd_korn,win_kwan
qbb_EgoEgo,lat_Ego,ruq_io,ruo_io,rup_io,ron_iew,dlm_iu,fur_io,ll1_ie,ll2_Ze,ro1_iEw,ro2_iew,ro3_i3,ro4_Ew,pm1_mi,pm2_mi,pm3_mi,pm4_mi,pm5_mi,lm1_me,lm2_mi,eg1_me,eg2_mi,eg3_mE,eg4_me,li1_mi,li2_mi,li3_mi,ve1_mi,ve2_mi,ve3_mi,ito_io,ita_io,itg_io,itf_io,nea_ii3,src_deo,sro_dEw,sc1_io,sc2_io,sc3_iu,sc4_iu,ca1_Zo,ca2_io,ca3_Zo,ca4_io,ca5_io,ca6_io,spa_zo,ast_io,por_ew,glg_Ew,pr1_iew,pr2_dE,fro_Z3,fra_Z3,pcd_eZ,win_Zi
qbb_okidErE,lat_okidErE,ruq_nek,ruo_uCide,rup_vEt3m,ron_EuCide,dlm_drEmwor,fur_kopE,ll1_mETE,ll2_mETEr,ro1_m3TEr,ro2_m3TEr,ro3_m3TEr,ro4_k3pEr,pm1_mEse,pm2_mEse,pm3_mEse,pm4_mEsE,pm5_mEsE,lm1_kEpE,lm2_mETE,eg1_Ekupe,eg2_mETEr,eg3_mEsEr,eg4_mEsEr,li1_EmEsE,li2_mEsE,li3_mETE,ve1_kopEr,ve2_kopEr,ve3_kopEr,ito_EnCidere,ita_uCidere,itg_EmETEre,itf_mETE,nea_ECir3r3,src_bokire,sro_boCiri,sc1_EmETEri,sc2_EmETEri,sc3_EmETEri,sc4_EmETEri,ca1_m3tE,ca2_mEtE,ca3_m3tE,ca4_mEtEr,ca5_mEtEr,ca6_mEtEr,spa_mEtEr,ast_mEtEr,por_matEr,glg_mEtEr,pr1_tiE,pr2_twE,fro_oTir3,fra_tje,pcd_tje,win_tuwe
qbb_gEnu,lat_gEnu,ruq_zinukLu,ruo_ZeruNkLu,rup_ZinukLu,ron_ZenuNk,dlm_ZinwEk,fur_Zenoli,ll1_Z3nodl,ll2_Z3neie,ro1_Z3nuL,ro2_Z3nuL,ro3_Z3nuL,ro4_ZnwoL,pm1_Zinui,pm2_Zinui,pm3_Zinui,pm4_Zinui,pm5_znEC,lm1_zEnEC,lm2_ZinEC,eg1_ZnoC,eg2_ZnoC,eg3_znoC,eg4_ZnoC,li1_zenuZu,li2_ZenuZu,li3_ZenuZu,ve1_zenoCo,ve2_denoCo,ve3_denoCo,ito_Zinokio,ita_Zinokio,itg_Zinokio,itf_Zinokiu,nea_d3nuki3,src_benukru,sro_Zenuxu,sc1_rinwokiu,sc2_Zinokiu,sc3_Zinokiu,sc4_rinwoCu,ca1_Z3noL,ca2_ZinoL,ca3_Zunoi,ca4_ZinoL,ca5_CinoL,ca6_CenoL,spa_ro8iLE,ast_rodieLE,por_ZuaLu,glg_SeonLo,pr1_Zeinui,pr2_8EnE,fro_Z3noL,fra_Z3nu,pcd_eZnu,win_Zino
qbb_skirE,lat_skirE,ruq_Stiw,ruo_Sti,rup_Stiw,ron_ESti,dlm_sEpEr,fur_sEve,ll1_sEv3i,ll2_sEer,ro1_s3vEir,ro2_s3ver,ro3_s3vEkr,ro4_s3vEir,pm1_sEvEi,pm2_sEvEi,pm3_sEvEi,pm4_sEvei,pm5_sEvei,lm1_sEi,lm2_sEvE,eg1_sEve,eg2_sEEr,eg3_sEver,eg4_sEvEir,li1_sEvei,li2_sEve,li3_sEvEi,ve1_sEver,ve2_sEer,ve3_sEver,ito_sEpere,ita_sEpere,itg_sEpere,itf_sEpe,nea_sEpE,src_iskire,sro_Siri,sc1_sEpirisEpiri,sc2_sEpiri,sc3_sEpiri,sc4_sEpiri,ca1_sEbE,ca2_sEbe,ca3_sEbr3,ca4_sEber,ca5_sEber,ca6_sEber,spa_sEber,ast_sEber,por_saber,glg_sEber,pr1_sEwpre,pr2_sEvEi,fro_sEvoir,fra_sEvwEr,pcd_sEvwer,win_sEwE
qbb_foliu,lat_foliu,ruq_frunz3,ruo_foLe,rup_frinZ3,ron_frunz3,dlm_fwELE,fur_fwee,ll1_pleCE,ll2_foE,ro1_feL,ro2_feL,ro3_fiL,ro4_fEL3,pm1_fEiE,pm2_fEiE,pm3_fEiE,pm4_fEiE,pm5_foiE,lm1_foiE,lm2_fEiE,eg1_foiE,eg2_foiE,eg3_foiE,eg4_foiE,li1_fEZE,li2_fEZE,li3_fEiE,ve1_foiE,ve2_foiE,ve3_foiE,ito_foLE,ita_foLE,itg_foLE,itf_foiE,nea_foL3,src_foZE,sro_folE,sc1_fwodE,sc2_fodE,sc3_fodE,sc4_fodE,ca1_fuL3,ca2_fuLE,ca3_fu3,ca4_fuLE,ca5_fuLE,ca6_fuLE,spa_oxE,ast_fweiE,por_foLa,glg_foLE,pr1_fjEio,pr2_foLe,fro_fwEL3,fra_fEi,pcd_fEl,win_fui
qbb_iEkerE,lat_iEkerE,ruq_zEk,ruo_zECo,rup_ZEku,ron_EstEkulkEt,dlm_NaN,fur_iesidistirEt,ll1_StEpundu,ll2_eserbutEZu,ro1_Z3ZEir,ro2_Zer,ro3_StErtEr3,ro4_Z3ZEir,pm1_stekuZE,pm2_stekuZE,pm3_stekuZE,pm4_stEkuZE,pm5_stEkwEtEvesikwEtE,lm1_bEtEsso,lm2_bitEsZu,eg1_NaN,eg2_kuCErs,eg3_zEkEr,eg4_ZEkEr,li1_sdrEiEse,li2_eseEkwegow,li3_ruversese,ve1_stErdestirE,ve2_stErbutEdo,ve3_stErbutEdo,ito_ZECere,ita_EserezdrEiEto,itg_EserezdrEiEto,itf_StEnese,nea_stEkukEt3,src_eserekolkEdu,sro_EbErEikrokEw,sc1_kurkErisi,sc2_kukErisi,sc3_kurkErisi,sc4_Stinirisi,ca1_3stEstirEt,ca2_EstEEstirEt,ca3_ZEwr3,ca4_estErtombEt,ca5_CitErse,ca6_estErCitEt,spa_estErtumbE8o,ast_estErtumbEo,por_iStErdaitE8u,glg_deitErse,pr1_NaN,pr2_NaN,fro_Zezir,fra_EtrkuSe,pcd_EtkuCe,win_EskuCe
qbb_iEkur,lat_iokur,ruq_drop,ruo_fikoT,rup_SikEtu,ron_fikEt,dlm_figwot,fur_fiEt,ll1_fuiEfoSk,ll2_fiEneigEr,ro1_Nirom,ro2_dir,ro3_nirom,ro4_N3rom,pm1_fidik,pm2_fidik,pm3_fidik,pm4_fedik,pm5_fidik,lm1_fidek,lm2_fidEk,eg1_fegEt,eg2_fEgEt,eg3_fedeg,eg4_fedeg,li1_figEtu,li2_fegEtu,li3_fegEtu,ve1_figE,ve2_fEgEto,ve3_fegEto,ito_fegEto,ita_fegEto,itg_fegEto,itf_fekEtu,nea_fExEt3fexEt3,src_fikEdu,sro_figEw,sc1_fikEtu,sc2_fikEtu,sc3_fikEtu,sc4_fikitu,ca1_feZ3,ca2_feZe,ca3_feZ3,ca4_feZe,ca5_feCe,ca6_feCe,spa_ixE8o,ast_fegEdo,por_fixa8u,glg_fixE8o,pr1_feZe,pr2_fE8o,fro_foi3,fra_fwE,pcd_fwE,win_fwE
qbb_loNgus,lat_loNgus,ruq_lunk,ruo_luNg,rup_lungu,ron_luNg,dlm_luNg,fur_luNk,ll1_loNk,ll2_loNk,ro1_luN,ro2_liuN,ro3_luN,ro4_luN,pm1_luNg,pm2_luNg,pm3_luNg,pm4_luNg,pm5_loN,lm1_loNk,lm2_loNk,eg1_loNg,eg2_luNg,eg3_luNg,eg4_loNg,li1_luNgu,li2_luNgu,li3_luNgu,ve1_eoNgo,ve2_loNk,ve3_loNk,ito_luNgo,ita_luNgo,itg_luNgo,itf_loNgu,nea_lwoNg3,src_loNgu,sro_loNgu,sc1_lwoNgu,sc2_loNgu,sc3_loNgu,sc4_lwoNku,ca1_LErk,ca2_LErk,ca3_LErk,ca4_LErk,ca5_LErk,ca6_LErk,spa_lErgo,ast_LErgo,por_kempri8u,glg_loNgo,pr1_loNk,pr2_lo,fro_leNk,fra_l,pcd_lo,win_l
qbb_pedis,lat_pedis,ruq_pidukLu,ruo_pedukLu,rup_pidukLu,ron_p3duke,dlm_pedoklo,fur_pedoli,ll1_podl,ll2_poie,ro1_pluL,ro2_pluL,ro3_pluL,ro4_plwoL,pm1_pui,pm2_pui,pm3_pui,pm4_pui,pm5_piEC,lm1_piEC,lm2_piEC,eg1_bdoC,eg2_vdoC,eg3_pioC,eg4_pioC,li1_pigEZu,li2_pigEZu,li3_piEZu,ve1_peoCo,ve2_pedoCo,ve3_pedoCo,ito_pidokio,ita_pidokio,itg_pidokio,itf_pi8okiu,nea_p3ruki3,src_preuku,sro_prioxu,sc1_pirwokiu,sc2_pirokiu,sc3_pirokiu,sc4_pruCu,ca1_poL,ca2_poL,ca3_poi,ca4_poL,ca5_poL,ca6_poL,spa_pioxo,ast_pioio,por_pioLu,glg_pioLo,pr1_pezu,pr2_pii,fro_peoL3,fra_pu,pcd_pu,win_pE
qbb_wir,lat_vir,ruq_b3rbEt,ruo_muSki,rup_b3rbEtu,ron_b3rbEt,dlm_om,fur_om,ll1_3l,ll2_om,ro1_um,ro2_um,ro3_om,ro4_om,pm1_om,pm2_om,pm3_om,pm4_om,pm5_omEN,lm1_Em,lm2_om,eg1_om,eg2_omEn,eg3_om,eg4_om,li1_omu,li2_omu,li3_omu,ve1_omo,ve2_om,ve3_om,ito_womo,ita_womo,itg_omo,itf_ome,nea_om3,src_omine,sro_omini,sc1_mESkulu,sc2_mEskulu,sc3_omu,sc4_wominu,ca1_om3,ca2_ome,ca3_omu,ca4_ome,ca5_ome,ca6_ome,spa_ombre,ast_ome,por_omai,glg_ome,pr1_ome,pr2_omo,fro_em3,fra_om,pcd_om,win_om
qbb_multus,lat_multus,ruq_mult,ruo_CudE,rup_multu,ron_mult,dlm_mwElt,fur_tEnt,ll1_trwep,ll2_trop,ro1_bler,ro2_biE,ro3_bler,ro4_bler,pm1_tENt,pm2_3NmiC,pm3_tENti,pm4_tENt,pm5_ENmiC,lm1_tEnCe,lm2_tEnti,eg1_unmownt,eg2_pErEC,eg3_tEnt,eg4_tEnt,li1_muZu,li2_iNmuZu,li3_dibEli,ve1_tENti,ve2_tENti,ve3_tENti,ito_molto,ita_molto,itg_tEnto,itf_tEntu,nea_EsEi3,src_medEs,sro_me8E,sc1_EsEi,sc2_EsEi,sc3_EsEi,sc4_EsEi,ca1_mol,ca2_mol,ca3_molt,ca4_molt,ca5_molt,ca6_molt,spa_muCo,ast_munCo,por_muitu,glg_moito,pr1_forso,pr2_biE,fro_meint,fra_boku,pcd_gromE,win_brEm
qbb_kEro,lat_kEro,ruq_kErni,ruo_korne,rup_kErne,ron_kErne,dlm_kworno,fur_tEr,ll1_S3rn,ll2_SErn,ro1_SErn,ro2_kErn,ro3_tErn,ro4_SErn,pm1_kErn,pm2_kErn,pm3_kErn,pm4_kErN,pm5_kErne,lm1_kErne,lm2_kErnE,eg1_kernE,eg2_kErEn,eg3_kErnE,eg4_kErnE,li1_kErne,li2_kErne,li3_kErne,ve1_kErne,ve2_kErne,ve3_kErne,ito_kErne,ita_kErne,itg_kErne,itf_CiCE,nea_kErn3,src_peTE,sro_pETE,sc1_kErni,sc2_kEni,sc3_kErni,sc4_kErni,ca1_kErn,ca2_kErn,ca3_kErn,ca4_kErn,ca5_kErn,ca6_kErn,spa_kErne,ast_kErne,por_kErn3,glg_kErne,pr1_viEnde,pr2_viEdE,fro_CEr,fra_viod,pcd_vion,win_Cor
qbb_lunE,lat_lunE,ruq_lun3,ruo_lurE,rup_lun3,ron_lun3,dlm_loinE,fur_lune,ll1_lunE,ll2_lunE,ro1_Lin3,ro2_Lin3,ro3_LiN3,ro4_Lin3,pm1_liNE,pm2_liNE,pm3_liNE,pm4_liNE,pm5_liNE,lm1_linE,lm2_linE,eg1_lownE,eg2_lunE,eg3_lunE,eg4_lunE,li1_liNE,li2_liNE,li3_liNE,ve1_lunE,ve2_lunE,ve3_lunE,ito_lunE,ita_lunE,itg_lunE,itf_lunE,nea_lun3,src_lunE,sro_lunE,sc1_lunE,sc2_lunE,sc3_lunE,sc4_lunE,ca1_Lun3,ca2_LunE,ca3_Lun3,ca4_LunE,ca5_LunE,ca6_LunE,spa_lunE,ast_LunE,por_lua,glg_luE,pr1_lino,pr2_lnE,fro_lin3,fra_lin,pcd_lEn,win_lin
qbb_mons,lat_mons,ruq_munti,ruo_kodru,rup_munte,ron_munte,dlm_mwEnt,fur_mont,ll1_kr3p,ll2_krepE,ro1_muntoN3,ro2_kwolm,ro3_muntoN3,ro4_muntoN3,pm1_muNtENE,pm2_muNt,pm3_muNtENE,pm4_muNtENE,pm5_muNtENE,lm1_montENE,lm2_muntENE,eg1_mownt,eg2_muntENE,eg3_muntENE,eg4_muntENE,li1_muntENE,li2_briku,li3_briku,ve1_moNtENE,ve2_moNtENE,ve3_moNtENE,ito_monte,ita_montENE,itg_montENE,itf_monte,nea_muntEN3,src_monte,sro_monti,sc1_muntENE,sc2_munti,sc3_muntENE,sc4_muntENE,ca1_muntEN3,ca2_muntENEmontENE,ca3_muntEN3,ca4_muntENE,ca5_muntENE,ca6_muntENE,spa_montENE,ast_montENE,por_mentaNa,glg_montENE,pr1_muntENo,pr2_motENe,fro_menteiN3,fra_mtEN,pcd_motEN,win_mtEN
qbb_os,lat_os,ruq_rost,ruo_gurE,rup_gur3,ron_gur3,dlm_bwEk,fur_bote,ll1_boCE,ll2_boCE,ro1_buk3,ro2_buk3,ro3_buk3,ro4_bok3,pm1_bukE,pm2_bukE,pm3_bukE,pm4_bukE,pm5_bukE,lm1_bokE,lm2_bukE,eg1_bokE,eg2_bokE,eg3_bokE,eg4_bokE,li1_bukE,li2_bukE,li3_bukE,ve1_bokE,ve2_bokE,ve3_bokE,ito_bokE,ita_bokE,itg_bokE,itf_vokE,nea_vok3,src_vukE,sro_bukE,sc1_vukE,sc2_bukE,sc3_vukE,sc4_vukE,ca1_bok3,ca2_bokE,ca3_bok3,ca4_bokE,ca5_bokE,ca6_bokE,spa_bokE,ast_bokE,por_boka,glg_bokE,pr1_buko,pr2_grwE,fro_boC3,fra_buS,pcd_buk,win_buC
qbb_nomEn,lat_nomEn,ruq_numi,ruo_lume,rup_num3,ron_nume,dlm_nEwN,fur_noN,ll1_inwem,ll2_inom,ro1_num,ro2_num,ro3_nom,ro4_nom,pm1_nom,pm2_nom,pm3_nom,pm4_nom,pm5_nom,lm1_nom,lm2_nom,eg1_nom,eg2_nom,eg3_nom,eg4_nom,li1_nume,li2_nume,li3_nume,ve1_nome,ve2_nome,ve3_nome,ito_nome,ita_nome,itg_nome,itf_nome,nea_nom3,src_lumene,sro_nomini,sc1_nwomu,sc2_numi,sc3_nomu,sc4_nomi,ca1_nom,ca2_nom,ca3_nom,ca4_nom,ca5_nom,ca6_nom,spa_nombre,ast_nome,por_nom3,glg_nome,pr1_num,pr2_no,fro_nem,fra_n,pcd_no,win_n
qbb_kolu,lat_kolu,ruq_guS3,ruo_CerbiCe,rup_guSe,ron_git,dlm_kwEl,fur_kwEl,ll1_kol,ll2_kol,ro1_kulieT,ro2_kulieT,ro3_kulieT,ro4_kulET,pm1_kol,pm2_kol,pm3_kol,pm4_kol,pm5_kol,lm1_kol,lm2_kol,eg1_kol,eg2_kol,eg3_kol,eg4_kol,li1_kolu,li2_kElu,li3_kolu,ve1_koeo,ve2_kol,ve3_kol,ito_kolo,ita_kolo,itg_kolo,itf_kolu,nea_kwol3,src_kodu,sro_Tuxu,sc1_kwodu,sc2_kodu,sc3_kodu,sc4_kwodu,ca1_koL,ca2_koL,ca3_koi,ca4_koL,ca5_koL,ca6_koL,spa_kweLo,ast_peskwe8o,por_p3Skosu,glg_pesko8o,pr1_kow,pr2_ku,fro_kol,fra_ku,pcd_ko,win_ke
qbb_nowus,lat_novus,ruq_now,ruo_nov,rup_now,ron_now,dlm_nuf,fur_Nuf,ll1_nwef,ll2_nef,ro1_nof,ro2_nEif,ro3_nof,ro4_nowf,pm1_nEv,pm2_nEv,pm3_nEw,pm4_nEv,pm5_nEf,lm1_nEf,lm2_nEf,eg1_nov,eg2_nov,eg3_nov,eg4_nov,li1_nEvu,li2_nEvu,li3_nEvu,ve1_novo,ve2_now,ve3_novo,ito_nwovo,ita_nwovo,itg_novo,itf_nou,nea_nwov3,src_novu,sro_now,sc1_nwovu,sc2_novu,sc3_novu,sc4_novu,ca1_now,ca2_now,ca3_now,ca4_now,ca5_now,ca6_now,spa_nwebo,ast_nweu,por_novu,glg_nobo,pr1_nuvEw,pr2_nove,fro_novel,fra_nuvo,pcd_nuviE,win_nove
qbb_noks,lat_noks,ruq_noEpti,ruo_nopte,rup_noEpte,ron_noEpte,dlm_nwEt,fur_Not,ll1_nwet,ll2_net,ro1_noS,ro2_noS,ro3_not,ro4_not,pm1_nEit,pm2_nEit,pm3_nEit,pm4_nEit,pm5_nEC,lm1_nEC,lm2_noC,eg1_notE,eg2_not,eg3_not,eg4_not,li1_nEte,li2_nEte,li3_nECe,ve1_note,ve2_not,ve3_not,ito_note,ita_note,itg_note,itf_note,nea_not3,src_note,sro_noti,sc1_nwoti,sc2_nuti,sc3_noti,sc4_noti,ca1_nit,ca2_nit,ca3_nit,ca4_nit,ca5_nit,ca6_nit,spa_noCe,ast_nweCe,por_noit3,glg_noite,pr1_nje,pr2_ne,fro_njit,fra_nji,pcd_nji,win_nit
qbb_nEsu,lat_nEsus,ruq_nEs,ruo_nos,rup_nEre,ron_nEs,dlm_nwos,fur_nEs,ll1_nEs,ll2_nEs,ro1_nEs,ro2_nEs,ro3_nEs,ro4_nEs,pm1_nEs,pm2_nEs,pm3_nEz,pm4_nEs,pm5_nEs,lm1_nEs,lm2_nEs,eg1_nez,eg2_nEs,eg3_nEz,eg4_nEs,li1_nEzu,li2_nEzu,li3_nEzu,ve1_nEzo,ve2_nEs,ve3_nEs,ito_nEso,ita_nEso,itg_nEso,itf_nEsu,nea_nEs3,src_nEsu,sro_nEzu,sc1_nEsu,sc2_nEskE,sc3_nEsu,sc4_nEsu,ca1_nEs,ca2_nEs,ca3_nEs,ca4_nEs,ca5_nEs,ca6_nEs,spa_nEri8,ast_nEri8,por_nariS,glg_nEri8,pr1_nEs,pr2_nE,fro_nes,fra_ne,pcd_nEz,win_ne
