L1,L2,Score
av1_az3m,pb1_z3,18.38082656932
av1_az3m,pb2_z3,18.38082656932
av1_az3m,bql_mo,12.20340169741
av1_az3m,bgp_mah,11.20340169741
av1_az3m,bgn_man,11.20340169741
av1_az3m,ps1_z3,18.38082656932
av1_az3m,pb3_z3,18.38082656932
av1_az3m,pb4_z3,18.38082656932
av1_az3m,wb1_woz,14.462381021744
av1_az3m,pt1_z3,18.38082656932
av1_az3m,wb2_woz,14.462381021744
av1_az3m,pb5_z3,18.38082656932
av1_az3m,pb6_z3,18.38082656932
av1_az3m,os1_Ez,15.806227546919
av1_az3m,pb7_z3,18.38082656932
av1_az3m,prs_mEn,11.20340169741
av1_az3m,gzi_mo,12.20340169741
av1_az3m,glk_mEn,11.20340169741
av1_az3m,pb8_z3,18.38082656932
av1_az3m,os2_EZ,13.836772553479
av1_az3m,wb3_woz,14.462381021744
av1_az3m,pb9_z3,18.38082656932
av1_az3m,p10_z3,18.38082656932
av1_az3m,jdt_me,12.20340169741
av1_az3m,pt2_z3,18.38082656932
av1_az3m,ps2_z3,18.38082656932
av1_az3m,kiu_Ez,15.806227546919
av1_az3m,zum_meh,11.20340169741
av1_az3m,kmr_min,11.20340169741
av1_az3m,ps3_z3,18.38082656932
av1_az3m,lrl_ma,12.20340169741
av1_az3m,lsa_a,12.0205240581
av1_az3m,luz_mu,12.20340169741
av1_az3m,p11_z3,18.38082656932
av1_az3m,p12_z3,18.38082656932
av1_az3m,p13_z3,18.38082656932
av1_az3m,kfm_mon,11.20340169741
av1_az3m,p14_zo,15.28010606132
av1_az3m,ps4_z3,18.38082656932
av1_az3m,p15_z3,18.38082656932
av1_az3m,mnj_z3,18.38082656932
av1_az3m,ntz_mun,11.20340169741
av1_az3m,p16_z3,18.38082656932
av1_az3m,p17_z3,18.38082656932
av1_az3m,p18_z3,18.38082656932
av1_az3m,oru_az,18.18908777836
av1_az3m,prc_on,8.293817301484
av1_az3m,p19_z3,18.38082656932
av1_az3m,pt3_z3,18.38082656932
av1_az3m,pes_man,11.20340169741
av1_az3m,p20_z3,18.38082656932
av1_az3m,pt4_z3,18.38082656932
av1_az3m,pt5_z3,18.38082656932
av1_az3m,srz_me,12.20340169741
av1_az3m,p21_z3,18.38082656932
av1_az3m,sgh_woz,14.462381021744
av1_az3m,siy_me,12.20340169741
av1_az3m,sqo_o,9.293817301484
av1_az3m,bcc_man,11.20340169741
av1_az3m,sdh_min,11.20340169741
av1_az3m,fay_mo,12.20340169741
av1_az3m,p22_z3,18.38082656932
av1_az3m,tgk_man,11.20340169741
av1_az3m,tly_oz,15.462381021744
av1_az3m,p23_z3,18.38082656932
av1_az3m,p24_z3,18.38082656932
av1_az3m,vaf_aez,17.18908777836
av1_az3m,ps5_z3,18.38082656932
av1_az3m,wne_z3,18.38082656932
av1_az3m,yai_mEn,11.20340169741
av1_az3m,wb5_woz,14.462381021744
av1_az3m,yah_az,18.18908777836
av1_az3m,ydg_zoh,14.28010606132
av1_az3m,p25_z3,18.38082656932
av1_az3m,diq_mun,11.20340169741
pb1_z3,pb2_z3,20.38082656932
pb1_z3,bql_mo,10.11154234106
pb1_z3,bgp_mah,9.536513005595
pb1_z3,bgn_man,9.536513005595
pb1_z3,ps1_z3,20.38082656932
pb1_z3,pb3_z3,20.38082656932
pb1_z3,pb4_z3,20.38082656932
pb1_z3,wb1_woz,15.16856372026
pb1_z3,pt1_z3,20.38082656932
pb1_z3,wb2_woz,15.16856372026
pb1_z3,pb5_z3,20.38082656932
pb1_z3,pb6_z3,20.38082656932
pb1_z3,os1_Ez,16.16856372026
pb1_z3,pb7_z3,20.38082656932
pb1_z3,prs_mEn,9.307882559066
pb1_z3,gzi_mo,10.11154234106
pb1_z3,glk_mEn,9.307882559066
pb1_z3,pb8_z3,20.38082656932
pb1_z3,os2_EZ,14.19910872682
pb1_z3,wb3_woz,15.16856372026
pb1_z3,pb9_z3,20.38082656932
pb1_z3,p10_z3,20.38082656932
pb1_z3,jdt_me,10.062502946979
pb1_z3,pt2_z3,20.38082656932
pb1_z3,ps2_z3,20.38082656932
pb1_z3,kiu_Ez,16.16856372026
pb1_z3,zum_meh,9.062502946979
pb1_z3,kmr_min,8.6444611398
pb1_z3,ps3_z3,20.38082656932
pb1_z3,lrl_ma,10.536513005595
pb1_z3,lsa_a,11.536513005595
pb1_z3,luz_mu,10.121807995247
pb1_z3,p11_z3,20.38082656932
pb1_z3,p12_z3,20.38082656932
pb1_z3,p13_z3,20.38082656932
pb1_z3,kfm_mon,9.11154234106
pb1_z3,p14_zo,17.28010606132
pb1_z3,ps4_z3,20.38082656932
pb1_z3,p15_z3,20.38082656932
pb1_z3,mnj_z3,20.38082656932
pb1_z3,ntz_mun,9.121807995247
pb1_z3,p16_z3,20.38082656932
pb1_z3,p17_z3,20.38082656932
pb1_z3,p18_z3,20.38082656932
pb1_z3,oru_az,16.16856372026
pb1_z3,prc_on,10.11154234106
pb1_z3,p19_z3,20.38082656932
pb1_z3,pt3_z3,20.38082656932
pb1_z3,pes_man,9.536513005595
pb1_z3,p20_z3,20.38082656932
pb1_z3,pt4_z3,20.38082656932
pb1_z3,pt5_z3,20.38082656932
pb1_z3,srz_me,10.062502946979
pb1_z3,p21_z3,20.38082656932
pb1_z3,sgh_woz,15.16856372026
pb1_z3,siy_me,10.062502946979
pb1_z3,sqo_o,11.11154234106
pb1_z3,bcc_man,9.536513005595
pb1_z3,sdh_min,8.6444611398
pb1_z3,fay_mo,10.11154234106
pb1_z3,p22_z3,20.38082656932
pb1_z3,tgk_man,9.536513005595
pb1_z3,tly_oz,16.16856372026
pb1_z3,p23_z3,20.38082656932
pb1_z3,p24_z3,20.38082656932
pb1_z3,vaf_aez,15.16856372026
pb1_z3,ps5_z3,20.38082656932
pb1_z3,wne_z3,20.38082656932
pb1_z3,yai_mEn,9.307882559066
pb1_z3,wb5_woz,15.16856372026
pb1_z3,yah_az,16.16856372026
pb1_z3,ydg_zoh,16.28010606132
pb1_z3,p25_z3,20.38082656932
pb1_z3,diq_mun,9.121807995247
pb2_z3,bql_mo,10.11154234106
pb2_z3,bgp_mah,9.536513005595
pb2_z3,bgn_man,9.536513005595
pb2_z3,ps1_z3,20.38082656932
pb2_z3,pb3_z3,20.38082656932
pb2_z3,pb4_z3,20.38082656932
pb2_z3,wb1_woz,15.16856372026
pb2_z3,pt1_z3,20.38082656932
pb2_z3,wb2_woz,15.16856372026
pb2_z3,pb5_z3,20.38082656932
pb2_z3,pb6_z3,20.38082656932
pb2_z3,os1_Ez,16.16856372026
pb2_z3,pb7_z3,20.38082656932
pb2_z3,prs_mEn,9.307882559066
pb2_z3,gzi_mo,10.11154234106
pb2_z3,glk_mEn,9.307882559066
pb2_z3,pb8_z3,20.38082656932
pb2_z3,os2_EZ,14.19910872682
pb2_z3,wb3_woz,15.16856372026
pb2_z3,pb9_z3,20.38082656932
pb2_z3,p10_z3,20.38082656932
pb2_z3,jdt_me,10.062502946979
pb2_z3,pt2_z3,20.38082656932
pb2_z3,ps2_z3,20.38082656932
