L1,L2,Score,cluster_number
p15,p13,0.212693020864174,2
p13,p15,0.212693020864174,2
p18,p17,0.213304013194063,2
p17,p18,0.213304013194063,2
p20,p15,0.213504994589848,2
p15,p20,0.213504994589848,2
pb1,p14,0.213874715014657,2
p14,pb1,0.213874715014657,2
pb9,p13,0.214190687361419,2
p13,pb9,0.214190687361419,2
pt5,pt1,0.215389726471659,2
pt1,pt5,0.215389726471659,2
pb7,p17,0.216031998112975,2
p17,pb7,0.216031998112975,2
pb2,p17,0.216749998489759,2
p17,pb2,0.216749998489759,2
pb6,p11,0.218248709994233,2
p11,pb6,0.218248709994233,2
pb4,p15,0.222260456095349,2
p15,pb4,0.222260456095349,2
ps5,ps4,0.22433687770168,2
ps4,ps5,0.22433687770168,2
pb6,p17,0.225207373901636,2
p17,pb6,0.225207373901636,2
pt3,pt1,0.228537014438088,2
pt1,pt3,0.228537014438088,2
pb2,p14,0.229546704895916,2
p14,pb2,0.229546704895916,2
pb7,p15,0.230629181915641,2
p15,pb7,0.230629181915641,2
pt5,ps3,0.232249875480006,2
ps3,pt5,0.232249875480006,2
pb1,p15,0.232783250846982,2
p15,pb1,0.232783250846982,2
pb3,p15,0.234995586937336,2
p15,pb3,0.234995586937336,2
pb6,pb2,0.235025646682478,2
pb2,pb6,0.235025646682478,2
p15,p14,0.235551351435174,2
p14,p15,0.235551351435174,2
pb9,p22,0.236565699138209,2
p22,pb9,0.236565699138209,2
pt3,pt2,0.238076273616467,2
pt2,pt3,0.238076273616467,2
pb9,pb4,0.238524162288837,2
pb4,pb9,0.238524162288837,2
p21,p16,0.239799931964113,2
p16,p21,0.239799931964113,2
pt2,ps3,0.239956938070147,2
pb3,p22,0.240078125000001,2
p22,pb3,0.240078125000001,2
p17,p14,0.244399185336049,2
p14,p17,0.244399185336049,2
pt5,pt3,0.246062214638926,2
pt3,pt5,0.246062214638926,2
pb3,pb2,0.248392266228226,2
pb2,pb3,0.248392266228226,2
pb9,p11,0.248870436764451,2
p11,pb9,0.248870436764451,2
ps3,pt2,0.249918857513796,2
pb6,p14,0.250100535156371,2
p14,pb6,0.250100535156371,2
pb9,pb1,0.251790741163866,2
pb1,pb9,0.251790741163866,2
pt4,pb7,0.25182635159411,2
pb7,pt4,0.25182635159411,2
ps4,ps2,0.251840123245465,2
ps2,ps4,0.251840123245465,2
p21,p10,0.254256568713559,2
p10,p21,0.254256568713559,2
pb5,pb3,0.258951706053134,2
pb3,pb5,0.258951706053134,2
pb3,p13,0.259335777308314,2
p13,pb3,0.259335777308314,2
ps2,p23,0.259766264121544,2
p23,ps2,0.259766264121544,2
ps4,ps1,0.260063953182517,2
