L1,L2,Old_Score,Off_Score,Score
av1,av2,0.287359943977591,0.820510204081628,0.350221048498994
av1,bcc,0.705742296918768,0.869104474148333,0.812033901459719
av1,bgn,0.697427035330261,0.877114661654131,0.795137814724245
av1,bgp,0.739075630252101,0.867084675975651,0.852368460347298
av1,bql,0.782983193277311,0.904846317181844,0.865321744045909
av1,ckb,0.780543530543531,0.894647552542293,0.872459247583569
av1,diq,0.758239348370927,0.897103174603174,0.845208633562497
av1,fay,0.778831845238095,0.887593984962405,0.87746408654525
av1,glk,0.725115207373272,0.896552905701752,0.808781280794253
av1,gzi,0.812678571428571,0.917330257461833,0.885917110896545
av1,hac,0.681377551020408,0.839299758015723,0.811840518852674
av1,jdt,0.821267696267696,0.921457757641969,0.891270044075963
av1,kfm,0.741043083900227,0.882612781954882,0.839601577329194
av1,kiu,0.769563492063492,0.91414375783208,0.84184077774434
av1,kmr,0.736654135338346,0.906896929824565,0.812279886624876
av1,lrl,0.748529411764706,0.868968428014478,0.861400009060208
av1,lsa,0.778924162257496,0.911836510920154,0.854236645417353
av1,luz,0.714355742296919,0.879930729601782,0.81183179341879
av1,mnj,0.82233893557423,0.924001969208737,0.889975306306365
av1,ntz,0.769239631336406,0.908054315476186,0.847129536445201
av1,oru,0.778151260504202,0.907853562477621,0.857133014250174
av1,os1,0.845989974937343,0.927322211779453,0.912293444706732
av1,os2,0.862802840434419,0.925419538429412,0.93233696135132
av1,p10,0.804796918767507,0.902760472610096,0.891484444861268
av1,p11,0.777836134453781,0.899989258861438,0.864272686362734
av1,p12,0.776948051948052,0.893745392893998,0.869316986834752
av1,p13,0.767051820728291,0.899618689581094,0.8526410462698
av1,p14,0.777836134453781,0.898242033655566,0.865953835725355
av1,p15,0.765091036414566,0.89112334407447,0.858569177322133
av1,p16,0.754306722689076,0.888351235230932,0.849108655196488
av1,p17,0.77359022556391,0.888038847117798,0.87112205516083
av1,p18,0.77734593837535,0.900810955961331,0.862940146576902
av1,p19,0.794747899159664,0.913629609738634,0.869879752897918
av1,p20,0.772934173669468,0.904458467597564,0.854582273658786
av1,p21,0.765417833800187,0.890185881370089,0.859840455593532
av1,p22,0.771953781512605,0.903422842821339,0.854476713364737
av1,p23,0.796298064680418,0.923797399342513,0.861983444905951
av1,p24,0.808228291316527,0.914349266022199,0.88393825133437
av1,p25,0.79968487394958,0.918771034729681,0.87038537755477
av1,pb1,0.784698879551821,0.899676870748298,0.872200792379107
av1,pb2,0.757936507936508,0.894148975379624,0.847662446422549
av1,pb3,0.756547619047619,0.901635338345864,0.83908381456696
av1,pb4,0.789600840336134,0.90220282849982,0.875192157897665
av1,pb5,0.778816526610644,0.897622627998567,0.867643598008636
av1,pb6,0.76656162464986,0.896032939491585,0.855506076690453
av1,pb7,0.795562770562771,0.914244250331711,0.870186244293164
av1,pb8,0.777766106442577,0.910569280343717,0.854153685207774
av1,pb9,0.749824929971989,0.892783745076978,0.839872963757127
av1,pes,0.760181704260652,0.901118421052634,0.843598007210475
av1,prc,0.771360544217687,0.918306182121973,0.839981870137548
av1,prs,0.791353383458647,0.942683270676694,0.839469000962098
av1,ps1,0.783998599439776,0.905857500895094,0.865476742937043
av1,ps2,0.820498511904762,0.920504860636437,0.891357066096826
av1,ps3,0.796463585434174,0.90171858216971,0.883272898200377
av1,ps4,0.803383626177744,0.917523679328191,0.875599882900003
av1,ps5,0.825420168067227,0.92094969566774,0.896270634487534
av1,pt1,0.799894957983193,0.910829752953812,0.878204686868365
av1,pt2,0.790091036414566,0.90158700322234,0.876333657861882
av1,pt3,0.839110644257703,0.920688327962763,0.911394897461588
av1,pt4,0.811659663865546,0.908190118152524,0.893711181879688
av1,pt5,0.797934173669468,0.900972968134622,0.885636086642548
av1,sdh,0.728095238095238,0.86245059764796,0.844216747116727
av1,sgh,0.866384711779449,0.948434367167923,0.913489369186949
av1,siy,0.76656162464986,0.885778682818155,0.865409881180478
av1,sqo,0.776488095238095,0.918596059113296,0.845298744246328
av1,srz,0.777295918367347,0.895390415694405,0.86810837456254
av1,tgk,0.717199248120301,0.876897713032583,0.817882447931133
av1,tly,0.806077694235589,0.93102365288221,0.865797224098636
av1,vaf,0.761083743842365,0.901436925647448,0.844300607383844
av1,wb1,0.880666666666667,0.940655725853091,0.936226339203943
av1,wb2,0.877564102564103,0.939434233732477,0.934141072417005
av1,wb3,0.859615384615385,0.939984219808778,0.914499803826768
av1,wb5,0.869871794871795,0.941579643553325,0.923843034232432
av1,wne,0.772689075630252,0.898956319369853,0.859540178962075
av1,yah,0.801836734693877,0.913155354602723,0.87809454399216
av1,yai,0.805952380952381,0.93647259173575,0.860625701237609
av1,ydg,0.798214285714286,0.912244002864305,0.87500085855102
av1,zum,0.734250136836344,0.888299916457807,0.826579090274202
av2,av1,0.287359943977591,0.820510204081628,0.350221048498994
av2,bcc,0.726523297491039,0.848981481481476,0.855758710099604
av2,bgn,0.692857142857143,0.855833333333326,0.809570176658791
av2,bgp,0.744270833333333,0.850870748299315,0.874716676793685
av2,bql,0.821354166666667,0.913716931216927,0.898915340851518
av2,ckb,0.79024064171123,0.891420381420378,0.886496044046099
av2,diq,0.745487528344671,0.899315192743759,0.82895022163501
av2,fay,0.766912972085386,0.896286514605838,0.855656042557611
av2,glk,0.750510204081633,0.891018282312921,0.842306178200345
av2,gzi,0.804901960784314,0.928116883116879,0.867242020295144
av2,hac,0.694230769230769,0.830558292282426,0.835860379315436
av2,jdt,0.806010737628385,0.932928367928367,0.863957797122397
av2,kfm,0.735185185185185,0.887991718426497,0.827918965829904
