L1,L2,Score,Score_distance,cluster_number
ruo,eg2,1.449715009967,0.871309561594535,1
eg2,ruo,1.44971500996701,0.871309561594534,1
pcd,eg2,1.44993952878696,0.871289613100543,1
eg2,pcd,1.44993952878699,0.871289613100541,1
li3,win,1.45117901786057,0.871179484513809,1
win,li3,1.4511790178606,0.871179484513806,1
li1,win,1.45636591305261,0.870718628949042,1
win,li1,1.45636591305262,0.870718628949042,1
pcd,ro4,1.45814472806971,0.870560581259824,1
ro4,pcd,1.45814472806972,0.870560581259823,1
pm4,rup,1.4597025738228,0.870422166686601,1
pr2,ca3,1.46434667907299,0.870009538000524,1
ca3,pr2,1.464346679073,0.870009538000523,1
lat,lm2,1.47282642945053,0.869256112298899,1
lm2,lat,1.47282642945055,0.869256112298898,1
pcd,ca4,1.47887837682563,0.868718396859851,1
ca4,pcd,1.47887837682566,0.868718396859848,1
pm2,rup,1.47927054026372,0.868683553143899,1
rup,pm2,1.47927054026373,0.868683553143898,1
ruo,glg,1.48029995567146,0.868592089599419,1
glg,ruo,1.48029995567149,0.868592089599416,1
ruo,ve2,1.48074534338497,0.868552516907346,1
ve2,ruo,1.48074534338498,0.868552516907345,1
ro2,win,1.48207922559511,0.86843400149176,1
win,ro2,1.48207922559511,0.86843400149176,1
ruo,fur,1.48682501779943,0.868012337921241,1
fur,ruo,1.48682501779944,0.86801233792124,1
pcd,ro3,1.48708590238335,0.867989158329633,1
ro3,pcd,1.48708590238337,0.867989158329631,1
pm1,rup,1.49363700084829,0.867407093323282,1
rup,pm1,1.49363700084829,0.867407093323282,1
pr2,spa,1.49630727426342,0.867169839567953,1
spa,pr2,1.49630727426344,0.867169839567951,1
itf,pr2,1.50379189126389,0.866504831452866,1
pr2,itf,1.50379189126389,0.866504831452866,1
pcd,ca6,1.50544574257407,0.866357886787248,1
ca6,pcd,1.50544574257409,0.866357886787246,1
ruo,sro,1.50578657123892,0.866327604165176,1
sro,ruo,1.50578657123893,0.866327604165175,1
qbb,pm1,1.50606813298706,0.866302587407819,1
pm1,qbb,1.50606813298708,0.866302587407817,1
por,pr2,1.50652260676657,0.86626220741891,1
pr2,por,1.50652260676658,0.866262207418909,1
ro3,pr2,1.50760409630013,0.866166117089083,1
pr2,ro3,1.50760409630014,0.866166117089082,1
pcd,ca5,1.51237682930404,0.8657420598289,1
ca5,pcd,1.51237682930407,0.865742059828897,1
rup,ro1,1.51384511054082,0.86561160306169,1
ro1,rup,1.51384511054085,0.865611603061687,1
ruq,pm5,1.51657758080313,0.865368823117365,1
pm5,ruq,1.51657758080314,0.865368823117364,1
ruo,sc3,1.51933648565822,0.865123694459843,1
sc3,ruo,1.51933648565823,0.865123694459842,1
eg1,pr2,1.52153654544856,0.864928219178455,1
pr2,eg1,1.52153654544856,0.864928219178455,1
itg,pcd,1.52185876247158,0.864899590200497,1
pcd,itg,1.52185876247158,0.864899590200497,1
ito,win,1.52227133271448,0.864862933340226,1
win,ito,1.5222713327145,0.864862933340224,1
ruo,itf,1.52350538663735,0.864753287666558,1
itf,ruo,1.52350538663738,0.864753287666555,1
ruo,src,1.52476347534338,0.864641506502745,1
src,ruo,1.52476347534339,0.864641506502744,1
qbb,li3,1.52740706686448,0.864406623433324,1
li3,qbb,1.52740706686449,0.864406623433324,1
pcd,eg4,1.52992943961645,0.864182510649834,1
eg4,pcd,1.52992943961648,0.864182510649832,1
pr2,src,1.53074328539147,0.864110200464185,1
src,pr2,1.53074328539147,0.864110200464185,1
qbb,pm5,1.53473304644263,0.863755710250977,1
pm5,qbb,1.53473304644267,0.863755710250973,1
pcd,sc2,1.53514359992844,0.863719232579545,1
sc2,pcd,1.53514359992847,0.863719232579542,1
pm4,por,1.53567326529723,0.863672171818987,1
qbb,pm3,1.5449227162354,0.86285035823339,1
pm3,qbb,1.54492271623542,0.862850358233388,1
lm2,win,1.54533524676277,0.862813704901842,1
win,lm2,1.54533524676278,0.862813704901842,1
pcd,eg3,1.55491950975826,0.861962143269667,1
eg3,pcd,1.55491950975828,0.861962143269666,1
pm4,win,1.55972820192682,0.861534891038211,1
spa,fra,1.56457890171049,0.861103906430744,1
fra,spa,1.56457890171051,0.861103906430742,1
qbb,ruq,1.56555279636441,0.861017375904459,1
ruq,qbb,1.56555279636441,0.861017375904459,1
ron,ro3,1.56862763273699,0.860744176736058,1
ro3,ron,1.56862763273705,0.860744176736052,1
ruq,pr1,1.56907397895252,0.860704518881094,1
pr1,ruq,1.56907397895257,0.860704518881089,1
pr2,ro2,1.56992130950478,0.860629233573458,1
ro2,pr2,1.56992130950481,0.860629233573456,1
pcd,sc1,1.5710462243459,0.860529284905667,1
sc1,pcd,1.57104622434593,0.860529284905664,1
ruq,ro3,1.57184127961022,0.860458644256629,1
ro3,ruq,1.57184127961028,0.860458644256623,1
pcd,li1,1.57655789407361,0.86003957312798,1
li1,pcd,1.57655789407362,0.860039573127979,1
pm1,ruq,1.57862347803474,0.859856046022123,1
ruq,pm1,1.57862347803474,0.859856046022123,1
pcd,ito,1.57876968294932,0.859843055717522,1
ito,pcd,1.57876968294934,0.85984305571752,1
ro3,win,1.58023361567478,0.859712985315481,1
win,ro3,1.58023361567479,0.85971298531548,1
sc1,rup,1.58058189048567,0.859682041103438,1
rup,sc1,1.5805818904857,0.859682041103436,1
fro,rup,1.58668479249813,0.859139798345578,1
rup,fro,1.58668479249822,0.85913979834557,1
ll2,pr2,1.59394428489447,0.858494792548398,1
pr2,ll2,1.59394428489448,0.858494792548397,1
spa,ruq,1.59778561415507,0.858153490497691,1
ruq,spa,1.59778561415508,0.85815349049769,1
rup,pm4,1.60582611023433,0.857439092534282,1
lm2,pr2,1.61051440272683,0.857022537812348,1
pr2,lm2,1.61051440272684,0.857022537812347,1
fur,win,1.61247671749599,0.856848186172743,1
win,fur,1.612476717496,0.856848186172743,1
dlm,pr2,1.61516763861233,0.856609097869453,1
pr2,dlm,1.61516763861235,0.856609097869451,1
ve2,win,1.61527158190975,0.856599862508941,1
win,ve2,1.61527158190978,0.856599862508938,1
pcd,ro2,1.61781229667869,0.856374120037501,1
ro2,pcd,1.61781229667871,0.856374120037499,1
qbb,ll1,1.61930915484069,0.856241124210888,1
ll1,qbb,1.61930915484074,0.856241124210883,1
ro4,win,1.61968882087564,0.856207390889029,1
win,ro4,1.61968882087564,0.856207390889029,1
ron,li3,1.62029503514805,0.856153528759463,1
li3,ron,1.62029503514806,0.856153528759462,1
pr2,ast,1.6215957223059,0.856037962723805,1
ast,pr2,1.62159572230592,0.856037962723803,1
li2,ruq,1.62326077151815,0.855890023124745,1
ruq,li2,1.62326077151816,0.855890023124745,1
eg3,ruo,1.62336304948374,0.855880935728943,1
ruo,eg3,1.62336304948374,0.855880935728943,1
li2,pr2,1.62354356420025,0.855864896998924,1
pr2,li2,1.62354356420027,0.855864896998922,1
rup,li2,1.62481847775866,0.855751620947213,1
li2,rup,1.62481847775868,0.855751620947211,1
qbb,pm2,1.62599162972826,0.855647386411236,1
pm2,qbb,1.62599162972829,0.855647386411233,1
ruo,sc1,1.62886369006271,0.855392203890967,1
sc1,ruo,1.62886369006275,0.855392203890963,1
eg4,rup,1.6306512679651,0.855233377619514,1
rup,eg4,1.63065126796521,0.855233377619504,1
ruo,eg1,1.63103671350532,0.855199130788693,1
eg1,ruo,1.63103671350533,0.855199130788692,1
pm4,sro,1.63177928790773,0.855133153063497,1
pcd,ve1,1.6349437911149,0.854851986998105,1
ve1,pcd,1.63494379111493,0.854851986998103,1
ruq,ca3,1.63521786111516,0.854827635882442,1
ca3,ruq,1.63521786111519,0.854827635882439,1
lat,pm1,1.63876558321475,0.854512420823856,1
pm1,lat,1.63876558321477,0.854512420823854,1
rup,fur,1.64202264027261,0.854223031350134,1
fur,rup,1.64202264027262,0.854223031350133,1
dlm,fra,1.64350262336827,0.854091534872927,1
fra,dlm,1.64350262336829,0.854091534872925,1
pm4,fra,1.64824897518279,0.853669821581049,1
win,eg2,1.65611287864316,0.852971113869342,1
eg2,win,1.65611287864317,0.852971113869341,1
ruo,ve3,1.66220202542342,0.852430093263669,1
ve3,ruo,1.66220202542343,0.852430093263668,1
eg2,pr2,1.66283968606705,0.852373437124462,1
pr2,eg2,1.66283968606706,0.852373437124461,1
pm3,rup,1.66389114848409,0.852280014703516,1
rup,pm3,1.66389114848409,0.852280014703516,1
ron,fro,1.66403630798978,0.85226711728348,1
fro,ron,1.66403630798979,0.852267117283479,1
lat,li3,1.66593503304328,0.852098415589216,1
li3,lat,1.66593503304328,0.852098415589216,1
sc2,rup,1.66677769293548,0.852023545269661,1
rup,sc2,1.66677769293551,0.852023545269658,1
itg,pr2,1.67396781294851,0.851384703207761,1
pr2,itg,1.67396781294853,0.851384703207759,1
ca4,pr2,1.67442429816121,0.851344144503041,1
pr2,ca4,1.67442429816121,0.851344144503041,1
sc1,pr2,1.67456232513759,0.851331880808134,1
pr2,sc1,1.67456232513762,0.851331880808131,1
li3,pr2,1.67533551765645,0.851263182663722,1
pr2,li3,1.67533551765649,0.851263182663718,1
pcd,sc3,1.67616657660643,0.85118934308772,1
sc3,pcd,1.67616657660643,0.85118934308772,1
sc4,pr2,1.67654623989747,0.851155610009658,1
pr2,sc4,1.67654623989757,0.851155610009649,1
pr2,ca2,1.69012325942905,0.849949292015481,1
ca2,pr2,1.69012325942906,0.84994929201548,1
pr2,ca5,1.6917776549571,0.849802298996112,1
ca5,pr2,1.69177765495711,0.849802298996111,1
ro1,win,1.69996515557454,0.849074839681557,1
win,ro1,1.69996515557454,0.849074839681557,1
sc3,rup,1.7003560185878,0.849040111508333,1
rup,sc3,1.70035601858782,0.849040111508331,1
ve1,pr2,1.70198131846954,0.848895703636729,1
pr2,ve1,1.70198131846956,0.848895703636728,1
ruq,sc4,1.70273482102716,0.848828754945096,1
sc4,ruq,1.70273482102716,0.848828754945096,1
ruo,li1,1.70505484100871,0.848622621202408,1
li1,ruo,1.70505484100872,0.848622621202407,1
pr2,ca6,1.71559003967423,0.847686568949343,1
ca6,pr2,1.71559003967426,0.84768656894934,1
lat,ll1,1.71791184323744,0.84748027673545,1
ll1,lat,1.71791184323748,0.847480276735446,1
fro,ruq,1.72087143143659,0.847217317365635,1
ruq,fro,1.72087143143666,0.847217317365629,1
pcd,ve2,1.7260159649167,0.846760225638377,1
ve2,pcd,1.72601596491671,0.846760225638376,1
qbb,ca3,1.73211221591324,0.846218573823188,1
ca3,qbb,1.73211221591336,0.846218573823177,1
por,fra,1.73358908289603,0.846087354212565,1
fra,por,1.73358908289607,0.846087354212562,1
glg,pr2,1.73369526326722,0.84607792008808,1
pr2,glg,1.73369526326722,0.84607792008808,1
li2,fra,1.74064302838656,0.845460611255072,1
fra,li2,1.74064302838659,0.845460611255069,1
ve1,win,1.74778902717201,0.844825689363621,1
win,ve1,1.74778902717203,0.844825689363619,1
win,ca3,1.75031506511816,0.84460125092768,1
ca3,win,1.75031506511819,0.844601250927677,1
ca4,win,1.75310579367008,0.844353294735143,1
win,ca4,1.75310579367009,0.844353294735142,1
rup,spa,1.7538293074669,0.844289010544485,1
spa,rup,1.75382930746692,0.844289010544483,1
ruo,itg,1.75605102366317,0.844091611091734,1
itg,ruo,1.75605102366318,0.844091611091734,1
src,rup,1.75733150227532,0.843977840585078,1
rup,src,1.75733150227535,0.843977840585075,1
sc2,fra,1.76239703117901,0.843527768413322,1
fra,sc2,1.7623970311791,0.843527768413314,1
ca5,win,1.76420105024313,0.843367481344881,1
win,ca5,1.76420105024315,0.843367481344879,1
ca6,win,1.76463236153129,0.843329159343002,1
win,ca6,1.76463236153132,0.843329159343,1
pm1,ron,1.76471440159892,0.843321870084149,1
ron,pm1,1.76471440159892,0.843321870084149,1
por,rup,1.77140841143751,0.842727107404261,1
rup,por,1.77140841143754,0.842727107404258,1
ro2,ruq,1.78113759005421,0.841862670021183,1
ruq,ro2,1.78113759005421,0.841862670021183,1
lat,pm5,1.78671964570523,0.841366704455201,1
pm5,lat,1.78671964570528,0.841366704455197,1
ron,ro2,1.7915675107296,0.840935971716058,1
ro2,ron,1.79156751072964,0.840935971716054,1
pr2,ro1,1.79963867288527,0.840218849072192,1
ro1,pr2,1.79963867288529,0.84021884907219,1
ruq,pm4,1.80263367247406,0.839952743400906,1
qbb,pr1,1.80480945696477,0.839759424979548,1
pr1,qbb,1.80480945696479,0.839759424979546,1
src,fra,1.80816560458314,0.83946123131092,1
fra,src,1.80816560458318,0.839461231310917,1
ve1,ruq,1.80883673040955,0.839401601790695,1
ruq,ve1,1.80883673040961,0.83940160179069,1
ruq,ast,1.80895985801178,0.839390661904971,1
ast,ruq,1.8089598580118,0.839390661904969,1
fra,eg4,1.80913053849308,0.839375496946611,1
eg4,fra,1.8091305384931,0.83937549694661,1
ve3,win,1.81352271987358,0.838985251692809,1
win,ve3,1.81352271987362,0.838985251692805,1
ca5,rup,1.81629023956366,0.83873935760732,1
rup,ca5,1.81629023956371,0.838739357607315,1
pm1,win,1.81737866092375,0.838642651384804,1
win,pm1,1.81737866092378,0.838642651384801,1
qbb,pm4,1.82065078463391,0.838351923239237,1
pm1,pr2,1.82284722727954,0.838156769341105,1
pr2,pm1,1.82284722727955,0.838156769341105,1
eg4,ruq,1.82383716705953,0.838068813205594,1
ruq,eg4,1.82383716705958,0.83806881320559,1
ca4,rup,1.82465284500642,0.8379963402315,1
rup,ca4,1.82465284500647,0.837996340231496,1
eg3,pr2,1.82588400581672,0.837886951610844,1
pr2,eg3,1.82588400581674,0.837886951610842,1
pm2,ruq,1.83260385540769,0.837289893069321,1
ruq,pm2,1.83260385540769,0.837289893069321,1
fra,eg1,1.83403858251646,0.837162417585912,1
eg1,fra,1.83403858251647,0.837162417585911,1
ron,lm2,1.83500653241144,0.837076415251375,1
lm2,ron,1.83500653241146,0.837076415251373,1
ca6,rup,1.83562906234725,0.837021103475345,1
rup,ca6,1.83562906234732,0.837021103475339,1
lat,pm3,1.83606550251047,0.836982325772989,1
pm3,lat,1.8360655025105,0.836982325772986,1
qbb,ro3,1.83634281972072,0.836957686142764,1
ro3,qbb,1.8363428197208,0.836957686142757,1
ron,pm5,1.83697170424031,0.836901809762055,1
pm5,ron,1.83697170424037,0.836901809762049,1
ast,fra,1.84079025048475,0.836562531982012,1
fra,ast,1.84079025048476,0.836562531982012,1
pm5,win,1.84524089625233,0.836167092168241,1
win,pm5,1.84524089625234,0.83616709216824,1
win,pm4,1.84953367275227,0.835785679036676,1
ca2,rup,1.85470486382201,0.835326218782955,1
rup,ca2,1.85470486382204,0.835326218782953,1
qbb,fur,1.85472936802661,0.835324041584722,1
fur,qbb,1.85472936802662,0.835324041584721,1
sro,ro3,1.85574432174684,0.835233862960973,1
ro3,sro,1.85574432174688,0.835233862960969,1
li1,pr2,1.85995365224406,0.834859864005574,1
pr2,li1,1.8599536522441,0.834859864005571,1
lat,ca3,1.8619453558606,0.834682901167294,1
ca3,lat,1.86194535586071,0.834682901167284,1
ruo,ito,1.86729320820986,0.834207744561375,1
ito,ruo,1.86729320820988,0.834207744561374,1
ca2,win,1.87085431040706,0.833891340681305,1
win,ca2,1.87085431040706,0.833891340681305,1
