L1,L2,Score_distance
ca1,pcd,0.878620180601279
itf,fra,0.87834132512161
fra,itf,0.878341325121608
ll2,ruq,0.877858684201562
ruq,ll2,0.877858684201558
ve1,ruo,0.877276805083152
ruo,ve1,0.877276805083151
sc3,win,0.876620070223361
win,sc3,0.876620070223358
pcd,ca2,0.876525792127086
ca2,pcd,0.876525792127084
eg1,win,0.875808978761625
win,eg1,0.875808978761624
pcd,glg,0.875690447843257
glg,pcd,0.875690447843256
pcd,ro1,0.875435025765792
ro1,pcd,0.875435025765791
eg3,win,0.875215603421656
win,eg3,0.875215603421655
lm2,rup,0.875156400124669
rup,lm2,0.875156400124667
pr2,lm1,0.875061765748039
lm1,pr2,0.875061765748038
pcd,li3,0.874261024788777
li3,pcd,0.874261024788777
fra,lm1,0.873777776543128
lm1,fra,0.873777776543126
ca3,rup,0.873566476080569
rup,ca3,0.873566476080569
li2,ruo,0.873228319350197
ruo,li2,0.873228319350197
eg4,win,0.872940631956659
win,eg4,0.872940631956658
sc4,fra,0.872459177525947
fra,sc4,0.872459177525938
ruo,sc2,0.872436579716282
sc2,ruo,0.87243657971628
pm4,ruq,0.872087162862495
lm2,ruq,0.87141555573326
ruq,lm2,0.871415555733257
ruo,eg2,0.871309561594535
eg2,ruo,0.871309561594534
pcd,eg2,0.871289613100543
eg2,pcd,0.871289613100541
li3,win,0.871179484513809
win,li3,0.871179484513806
li1,win,0.870718628949042
win,li1,0.870718628949042
pcd,ro4,0.870560581259824
ro4,pcd,0.870560581259823
pm4,rup,0.870422166686601
pr2,ca3,0.870009538000524
ca3,pr2,0.870009538000523
lat,lm2,0.869256112298899
lm2,lat,0.869256112298898
pcd,ca4,0.868718396859851
ca4,pcd,0.868718396859848
pm2,rup,0.868683553143899
rup,pm2,0.868683553143898
ruo,glg,0.868592089599419
glg,ruo,0.868592089599416
ruo,ve2,0.868552516907346
ve2,ruo,0.868552516907345
ro2,win,0.86843400149176
win,ro2,0.86843400149176
ruo,fur,0.868012337921241
fur,ruo,0.86801233792124
pcd,ro3,0.867989158329633
ro3,pcd,0.867989158329631
pm1,rup,0.867407093323282
rup,pm1,0.867407093323282
pr2,spa,0.867169839567953
spa,pr2,0.867169839567951
itf,pr2,0.866504831452866
pr2,itf,0.866504831452866
pcd,ca6,0.866357886787248
ca6,pcd,0.866357886787246
ruo,sro,0.866327604165176
sro,ruo,0.866327604165175
qbb,pm1,0.866302587407819
pm1,qbb,0.866302587407817
por,pr2,0.86626220741891
pr2,por,0.866262207418909
ro3,pr2,0.866166117089083
pr2,ro3,0.866166117089082
pcd,ca5,0.8657420598289
ca5,pcd,0.865742059828897
rup,ro1,0.86561160306169
ro1,rup,0.865611603061687
ruq,pm5,0.865368823117365
pm5,ruq,0.865368823117364
ruo,sc3,0.865123694459843
sc3,ruo,0.865123694459842
eg1,pr2,0.864928219178455
pr2,eg1,0.864928219178455
itg,pcd,0.864899590200497
pcd,itg,0.864899590200497
ito,win,0.864862933340226
win,ito,0.864862933340224
ruo,itf,0.864753287666558
itf,ruo,0.864753287666555
ruo,src,0.864641506502745
src,ruo,0.864641506502744
qbb,li3,0.864406623433324
li3,qbb,0.864406623433324
pcd,eg4,0.864182510649834
eg4,pcd,0.864182510649832
pr2,src,0.864110200464185
src,pr2,0.864110200464185
qbb,pm5,0.863755710250977
pm5,qbb,0.863755710250973
pcd,sc2,0.863719232579545
sc2,pcd,0.863719232579542
pm4,por,0.863672171818987
qbb,pm3,0.86285035823339
pm3,qbb,0.862850358233388
lm2,win,0.862813704901842
win,lm2,0.862813704901842
pcd,eg3,0.861962143269667
