qbb
lat
ruq
ruo
rup
ron
dlm
fur
ll1
ll2
ro1
ro2
ro3
ro4
pm1
pm2
pm3
pm4
pm5
lm1
lm2
eg1
eg2
eg3
eg4
li1
li2
li3
ve1
ve2
ve3
ito
ita
itg
itf
nea
src
sro
sc1
sc2
sc3
sc4
ca1
ca2
ca3
ca4
ca5
ca6
spa
ast
por
glg
pr1
pr2
fro
fra
pcd
win
