L1,L2,Score
sro,ro3,1.47363937948674
ro3,sro,1.47363937948674
rup,ro1,1.49158623948348
ro1,rup,1.49158623948348
ruo,pm2,1.5032527773258
pm2,ruo,1.5032527773258
win,li2,1.50805916124262
li2,win,1.50805916124262
ve1,ruq,1.51374774533527
ruq,ve1,1.51374774533527
win,lm1,1.53110297731605
lm1,win,1.53110297731605
pr2,nea,1.53120979095417
nea,pr2,1.53120979095417
ruq,ast,1.53959373891581
ast,ruq,1.53959373891581
lm1,lat,1.54433237991917
lat,lm1,1.54433237991917
rup,eg4,1.55306149419164
eg4,rup,1.55306149419164
win,ito,1.55390955787377
ito,win,1.55390955787377
qbb,ll1,1.5549139546169
ll1,qbb,1.5549139546169
itf,fra,1.55634265025617
fra,itf,1.55634265025617
sc2,ruo,1.5616576483398
ruo,sc2,1.5616576483398
pcd,ca1,1.56788104686593
ca1,pcd,1.56788104686593
sc2,pcd,1.57252195078716
pcd,sc2,1.57252195078716
ruo,eg4,1.57496037421874
eg4,ruo,1.57496037421874
pcd,dlm,1.5771719420714
dlm,pcd,1.5771719420714
ruq,pr1,1.57767558706585
pr1,ruq,1.57767558706585
sro,ruo,1.59446632478505
ruo,sro,1.59446632478505
sc1,pr2,1.59641694969518
pr2,sc1,1.59641694969518
rup,pm4,1.60007899224958
pm4,rup,1.60007899224958
qbb,ca3,1.60019886109534
ca3,qbb,1.60019886109534
ve1,ruo,1.60158494006072
ruo,ve1,1.60158494006072
rup,ca2,1.60723230800654
ca2,rup,1.60723230800654
ruq,ro3,1.60751933202816
ro3,ruq,1.60751933202816
sro,ll1,1.61227090135089
ll1,sro,1.61227090135089
pcd,ca3,1.615464799966
ca3,pcd,1.615464799966
ruq,li2,1.62077082072215
li2,ruq,1.62077082072215
ron,lm1,1.62378280919129
lm1,ron,1.62378280919129
ron,ro3,1.63161405109357
ro3,ron,1.63161405109357
src,fra,1.64878605791906
fra,src,1.64878605791906
rup,li3,1.66302287713446
li3,rup,1.66302287713446
pcd,lm1,1.66713592240406
lm1,pcd,1.66713592240406
ll1,lat,1.66797937001202
lat,ll1,1.66797937001202
qbb,ca1,1.66836412925491
ca1,qbb,1.66836412925491
sc3,ruo,1.66870809141785
ruo,sc3,1.66870809141785
ruq,pm1,1.67110630259964
pm1,ruq,1.67110630259964
ro3,qbb,1.68042161276036
qbb,ro3,1.68042161276036
ruq,ca2,1.68802015870913
ca2,ruq,1.68802015870913
pcd,li2,1.6935572850714
li2,pcd,1.6935572850714
spa,fra,1.69764002955307
fra,spa,1.69764002955307
ruo,li2,1.70343387830722
li2,ruo,1.70343387830722
win,ll2,1.70693938403908
ll2,win,1.70693938403908
rup,pm3,1.7071029487384
pm3,rup,1.7071029487384
sc4,ruq,1.70862166992705
ruq,sc4,1.70862166992705
rup,ro4,1.71029058765894
ro4,rup,1.71029058765894
sro,ro2,1.71068622925434
ro2,sro,1.71068622925434
rup,ca6,1.71265390535671
ca6,rup,1.71265390535671
qbb,lm2,1.71400615493283
lm2,qbb,1.71400615493283
sc3,pcd,1.71404497624382
pcd,sc3,1.71404497624382
sc2,fra,1.72383221682187
fra,sc2,1.72383221682187
sc4,rup,1.72583007954173
rup,sc4,1.72583007954173
lat,ca3,1.74244675910361
ca3,lat,1.74244675910361
pcd,ast,1.75211434046604
ast,pcd,1.75211434046604
ruq,ca3,1.7645839277517
ca3,ruq,1.7645839277517
ron,por,1.77234082910593
por,ron,1.77234082910593
fra,dlm,1.77487387951678
dlm,fra,1.77487387951678
win,ro2,1.77857109681715
ro2,win,1.77857109681715
pcd,ll2,1.77938697305676
ll2,pcd,1.77938697305676
rup,ca5,1.78466140715345
ca5,rup,1.78466140715345
ruq,fro,1.78477548870452
fro,ruq,1.78477548870452
rup,eg1,1.78483151544845
eg1,rup,1.78483151544845
win,ro3,1.79032860370157
ro3,win,1.79032860370157
ruo,eg2,1.79196341496978
eg2,ruo,1.79196341496978
rup,ca4,1.80315013650511
ca4,rup,1.80315013650511
pcd,ca2,1.80716428244321
ca2,pcd,1.80716428244321
win,eg1,1.81229549488533
eg1,win,1.81229549488533
sc4,pr2,1.81269482666139
pr2,sc4,1.81269482666139
rup,fur,1.81378923990409
fur,rup,1.81378923990409
ro1,pcd,1.81462346568652
pcd,ro1,1.81462346568652
pcd,itf,1.81527264336236
itf,pcd,1.81527264336236
src,ruq,1.82399335687729
ruq,src,1.82399335687729
ve1,rup,1.82511502292137
rup,ve1,1.82511502292137
ruq,pm4,1.82764592587464
pm4,ruq,1.82764592587464
win,ca3,1.83586324515489
ca3,win,1.83586324515489
ruq,ro2,1.84390707814619
ro2,ruq,1.84390707814619
spa,rup,1.84444758286596
rup,spa,1.84444758286596
rup,por,1.84706389216084
por,rup,1.84706389216084
win,li1,1.84968695690591
li1,win,1.84968695690591
qbb,fro,1.85170807992405
fro,qbb,1.85170807992405
ron,fro,1.85740269281613
fro,ron,1.85740269281613
ron,ro2,1.85954146405724
ro2,ron,1.85954146405724
pr2,ca3,1.86180724958212
ca3,pr2,1.86180724958212
